datetime,demand_mw,coal_mw,gas_mw,nuclear_mw,hydro_mw,solar_mw,wind_mw,petroleum_mw,other_mw
2015-07-06 18:00:00+00:00,589744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 19:00:00+00:00,605239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 20:00:00+00:00,615340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 21:00:00+00:00,621261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 22:00:00+00:00,623522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 23:00:00+00:00,615818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 00:00:00+00:00,601361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 01:00:00+00:00,581218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 02:00:00+00:00,568149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 03:00:00+00:00,542142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 04:00:00+00:00,505672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 05:00:00+00:00,470729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 06:00:00+00:00,442811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 07:00:00+00:00,420969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 08:00:00+00:00,409642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 09:00:00+00:00,402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 10:00:00+00:00,407068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 11:00:00+00:00,421136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 12:00:00+00:00,441560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 13:00:00+00:00,464681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 14:00:00+00:00,491014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 15:00:00+00:00,520354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 16:00:00+00:00,548163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 17:00:00+00:00,569321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 18:00:00+00:00,586642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 19:00:00+00:00,597474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 20:00:00+00:00,603058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 21:00:00+00:00,604647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 22:00:00+00:00,603780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-07 23:00:00+00:00,595497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 00:00:00+00:00,581339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 01:00:00+00:00,564321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 02:00:00+00:00,553340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 03:00:00+00:00,528957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 04:00:00+00:00,494752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 05:00:00+00:00,462961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 06:00:00+00:00,437583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 07:00:00+00:00,416753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 08:00:00+00:00,405718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 09:00:00+00:00,399035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 10:00:00+00:00,402850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 11:00:00+00:00,416976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 12:00:00+00:00,434829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 13:00:00+00:00,456051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 14:00:00+00:00,478751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 15:00:00+00:00,505965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 16:00:00+00:00,531366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 17:00:00+00:00,552901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 18:00:00+00:00,569979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 19:00:00+00:00,583083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 20:00:00+00:00,589376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 21:00:00+00:00,591145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 22:00:00+00:00,589491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-08 23:00:00+00:00,583168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 00:00:00+00:00,572032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 01:00:00+00:00,556190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 02:00:00+00:00,546810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 03:00:00+00:00,523743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 04:00:00+00:00,490385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 05:00:00+00:00,459870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 06:00:00+00:00,434165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 07:00:00+00:00,413711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 08:00:00+00:00,402481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 09:00:00+00:00,395743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 10:00:00+00:00,400413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 11:00:00+00:00,415287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 12:00:00+00:00,433812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 13:00:00+00:00,455226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 14:00:00+00:00,479933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 15:00:00+00:00,508105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 16:00:00+00:00,535096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 17:00:00+00:00,557013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 18:00:00+00:00,576290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 19:00:00+00:00,590510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 20:00:00+00:00,600423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 21:00:00+00:00,606757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 22:00:00+00:00,607992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-09 23:00:00+00:00,600910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 00:00:00+00:00,587071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 01:00:00+00:00,568610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 02:00:00+00:00,555377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 03:00:00+00:00,531088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 04:00:00+00:00,497102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 05:00:00+00:00,464134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 06:00:00+00:00,439444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 07:00:00+00:00,416798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 08:00:00+00:00,404413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 09:00:00+00:00,396409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 10:00:00+00:00,399157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 11:00:00+00:00,410814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 12:00:00+00:00,429427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 13:00:00+00:00,452385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 14:00:00+00:00,480259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 15:00:00+00:00,510769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 16:00:00+00:00,539582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 17:00:00+00:00,562007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 18:00:00+00:00,580803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 19:00:00+00:00,596045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 20:00:00+00:00,605642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 21:00:00+00:00,612238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 22:00:00+00:00,612494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-10 23:00:00+00:00,603834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 00:00:00+00:00,587174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 01:00:00+00:00,568304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 02:00:00+00:00,553155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 03:00:00+00:00,537202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 04:00:00+00:00,497571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 05:00:00+00:00,465592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 06:00:00+00:00,436874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 07:00:00+00:00,415135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 08:00:00+00:00,398333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 09:00:00+00:00,387369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 10:00:00+00:00,382586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 11:00:00+00:00,382347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 12:00:00+00:00,388981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 13:00:00+00:00,411386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 14:00:00+00:00,441399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 15:00:00+00:00,476195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 16:00:00+00:00,508693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 17:00:00+00:00,535117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 18:00:00+00:00,555206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 19:00:00+00:00,569949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 20:00:00+00:00,580793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 21:00:00+00:00,588357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 22:00:00+00:00,590674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11 23:00:00+00:00,585565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-12 00:00:00+00:00,572182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-12 01:00:00+00:00,557178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-12 02:00:00+00:00,545278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
